user_id,first_name,last_name,age,genres,roles,skill_proficiency,skill_engagement,location,ok_not_local,weekly_time,considers_age,age_limit,latitude,longitude
user_001,The,Beatles,83,Rock | Pop | Psychedelic Rock,singer|songwriter|musician|guitarist|pianist|multi-instrumentalist|drummer|actor,advanced|advanced|expert|expert|expert|advanced|expert|advanced,hobbyist|semi-professional|professional|semi-professional|hobbyist|professional|professional|semi-professional,"Liverpool, England",FALSE,10,TRUE,10,53.4083714,-2.9915726
user_002,Elvis,Presley,91,Rock and Roll | Pop | Country,singer,advanced,professional,"Tupelo, Mississippi | Memphis, Tennessee",TRUE,10,FALSE,999,35.148581199999995,-90.0518955
user_003,Michael,Jackson,,Pop | Soul | R&B | Dance,singer,expert,professional,"Gary, Indiana | Los Angeles, California",TRUE,20,FALSE,15,34.0549076,-118.242643
user_004,Madonna,,67,Pop | Dance | Electronica,singer,expert,professional,"Bay City, Michigan | New York City, New York",TRUE,30,TRUE,15,40.7127753,-74.0059728
user_005,Elton,John,78,Rock | Pop | Glam Rock,singer,advanced,semi-professional,"Pinner, England | London, England",FALSE,10,FALSE,15,51.5072178,-0.12758619999999998
user_006,Led,Zeppelin,77,Hard Rock | Blues Rock | Heavy Metal,singer,intermediate,semi-professional,"London, England",FALSE,40,FALSE,20,51.5072178,-0.12758619999999998
user_007,Rolling,Stones,82,Rock | Blues Rock,singer,advanced,professional,"London, England",FALSE,15,TRUE,999,51.5072178,-0.12758619999999998
user_008,Pink,Floyd,82,Progressive Rock | Psychedelic Rock,musician|singer|composer|producer|guitarist|songwriter|multi-instrumentalist|drummer,advanced|expert|advanced|advanced|expert|expert|advanced|intermediate,hobbyist|professional|semi-professional|hobbyist|professional|serious hobbyist|professional|serious hobbyist,"London, England",TRUE,30,FALSE,15,51.5072178,-0.12758619999999998
user_009,Mariah,Carey,56,R&B | Pop | Soul,singer,intermediate,semi-professional,"Huntington, New York | New York City, New York",TRUE,40,FALSE,15,40.7127753,-74.0059728
user_010,Stevie,Wonder,75,Soul | R&B | Funk | Pop,singer,advanced,semi-professional,"Saginaw, Michigan | Detroit, Michigan",TRUE,35,FALSE,20,42.329718199999995,-83.04245329999999
user_011,Prince,,,Funk | R&B | Rock | Pop,singer,advanced,semi-professional,"Minneapolis, Minnesota",TRUE,25,FALSE,10,44.977753,-93.2650108
user_012,Whitney,Houston,,R&B | Pop | Soul | Gospel,singer,advanced,semi-professional,"Newark, New Jersey",FALSE,40,TRUE,5,40.7315293,-74.1744671
user_013,David,Bowie,79,Art Rock | Glam Rock | Pop,singer,expert,semi-professional,"London, England",FALSE,15,FALSE,5,51.5072178,-0.12758619999999998
user_014,Queen,,55,Rock | Arena Rock | Pop,singer,advanced,hobbyist,"London, England",TRUE,15,TRUE,15,51.5072178,-0.12758619999999998
user_015,Bob,Dylan,84,Folk | Rock | Blues,singer,intermediate,serious hobbyist,"Duluth, Minnesota | New York City, New York",FALSE,20,FALSE,5,40.7127753,-74.0059728
user_016,Aretha,Franklin,,Soul | R&B | Gospel,singer,expert,professional,"Memphis, Tennessee | Detroit, Michigan",TRUE,5,FALSE,15,42.329718199999995,-83.04245329999999
user_017,Beyoncé,,44,R&B | Pop | Hip Hop,singer,advanced,professional,"Houston, Texas",TRUE,10,FALSE,20,29.7600771,-95.37011079999999
user_018,Taylor,Swift,36,Pop | Country | Folk | Rock,singer,expert,professional,"Reading, Pennsylvania | Nashville, Tennessee",FALSE,5,FALSE,20,36.1626638,-86.7816016
user_019,Drake,,39,Hip Hop | R&B | Pop,singer,beginner,professional,"Toronto, Canada",TRUE,15,TRUE,20,43.6548253,-79.388447
user_020,Rihanna,,37,R&B | Pop | Dance | Reggae,singer,advanced,hobbyist,"Saint Michael, Barbados | New York City, New York",FALSE,25,FALSE,999,40.7127753,-74.0059728
user_021,Eminem,,53,Hip Hop,singer,advanced,professional,"St. Joseph, Missouri | Detroit, Michigan",TRUE,35,TRUE,15,42.329718199999995,-83.04245329999999
user_022,Kanye,West,48,Hip Hop | Pop | Gospel,singer,expert,hobbyist,"Atlanta, Georgia | Chicago, Illinois",TRUE,35,FALSE,999,41.88325,-87.6323879
user_023,Jay,Z,56,Hip Hop,singer,intermediate,serious hobbyist,"Brooklyn, New York",FALSE,15,TRUE,10,40.6781784,-73.9441579
